datatype,_clipped,_debug,_green_area_m2,_green_percentage,_green_pixels,_is_green_roof,_ndvi_avg,_ndvi_max,_ndvi_min,_pixel_area_m2,_total_pixels,geotiff_byte_order,geotiff_compression_method,geotiff_interleaving_type
Generic,yes,"Step 1: Get raster | 134x153, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (134, 153) | Range: -0.265 to 65536.000 | Valid pixels: 10997 | NDVI avg: 0.092 | Green: 1.4% (1.5 m2) | Result: No | SUCCESS",1.53,1.39,153,No,0.092,0.3417,-0.2646,0.01,10997,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 217x160, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (217, 160) | Range: -0.411 to 65536.000 | Valid pixels: 22455 | NDVI avg: 0.071 | Green: 5.0% (11.3 m2) | Result: No | SUCCESS",11.28,5.02,1128,No,0.0713,0.7653,-0.4111,0.01,22455,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 134x134, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (134, 134) | Range: -0.293 to 65536.000 | Valid pixels: 9945 | NDVI avg: 0.003 | Green: 0.4% (0.3 m2) | Result: No | SUCCESS",0.35,0.35,35,No,0.003,0.3265,-0.2926,0.01,9945,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 325x148, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (325, 148) | Range: -0.377 to 65536.000 | Valid pixels: 35976 | NDVI avg: 0.045 | Green: 11.9% (42.9 m2) | Result: No | SUCCESS",42.94,11.94,4294,No,0.0452,0.6691,-0.3773,0.01,35976,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 677x402, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (677, 402) | Range: -0.380 to 65536.000 | Valid pixels: 90627 | NDVI avg: 0.184 | Green: 45.8% (415.3 m2) | Result: Yes | SUCCESS",415.3,45.83,41530,Yes,0.1836,0.7154,-0.3801,0.01,90627,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 201x204, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (201, 204) | Range: -0.353 to 65536.000 | Valid pixels: 22318 | NDVI avg: -0.011 | Green: 0.3% (0.6 m2) | Result: No | SUCCESS",0.62,0.28,62,No,-0.011,0.5187,-0.353,0.01,22318,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 124x131, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (124, 131) | Range: -0.462 to 65536.000 | Valid pixels: 8852 | NDVI avg: -0.037 | Green: 0.0% (0.0 m2) | Result: No | SUCCESS",0,0,0,No,-0.0372,0.2385,-0.4625,0.01,8852,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 141x139, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (141, 139) | Range: -0.306 to 65536.000 | Valid pixels: 9394 | NDVI avg: 0.094 | Green: 0.6% (0.6 m2) | Result: No | SUCCESS",0.61,0.65,61,No,0.0941,0.5373,-0.306,0.01,9394,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 113x131, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (113, 131) | Range: -0.244 to 65536.000 | Valid pixels: 10130 | NDVI avg: 0.104 | Green: 5.0% (5.1 m2) | Result: No | SUCCESS",5.06,5,506,No,0.1043,0.5925,-0.2445,0.01,10130,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 143x138, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (143, 138) | Range: -0.259 to 65536.000 | Valid pixels: 10436 | NDVI avg: 0.003 | Green: 0.0% (0.0 m2) | Result: No | SUCCESS",0.04,0.04,4,No,0.0031,0.2809,-0.2589,0.01,10436,LSB,lzw,BIP
